conversation_id,messages,label,reasons,severity
conv_157,User: I haven't gotten any updates on my open ticket for 4 days. || Bot: I apologize for the silence! Ticket #77231 is assigned to our billing team. Let me request an update now. || User: That would be great. I just want to know it hasn't been forgotten. || Bot: I've sent an internal priority flag. You'll receive an email update within 4 hours. || User: Thanks. Four hours is acceptable.,0,resolved,0.6
conv_158,User: Can I get a receipt for my last purchase? || Bot: Of course! I've resent the receipt to your registered email address. Please check your inbox and spam folder. || User: Got it. Thanks! || Bot: Happy to help!,0,"resolved,smooth_flow",0.5
conv_159,User: I need urgent help — my business payments are failing. || Bot: I'm sorry to hear that. Can you tell me more about the error? || User: Error code 5032. Payments have been failing for 2 hours. || Bot: Error 5032 typically indicates a temporary gateway issue. Please try again in a few minutes. || User: It's been 2 HOURS. This is costing my business real money. || Bot: I understand. Gateway issues are usually resolved within 24 hours. || User: 24 hours is completely unacceptable. I need an engineer on this NOW. || Bot: I'll submit a technical escalation report. || User: This is my livelihood. I need a direct line to someone who can fix this.,1,"frustration,fallback",0.76
conv_160,User: I'm disputing three charges totaling Rs.800. This is fraud. || Bot: I take this very seriously. Let me review your account. || User: The charges appeared overnight. I didn't authorize any of them. || Bot: I see three charges on April 5th. I'll flag your account for security review. || User: Flagging isn't enough. I need those charges reversed NOW. || Bot: Charge reversals for fraud require our security team's approval. || User: Then get them on the phone. I'm not waiting days for this.,1,"frustration,fallback",0.68
conv_161,User: I think I'm being billed in the wrong currency. || Bot: Let me check your account settings. Where are you located? || User: Canada. But I'm being billed in GBP. || Bot: That's definitely wrong. I've updated your billing currency to CAD effective immediately. || User: Will I be refunded for the difference on past invoices? || Bot: I'll submit a request to recalculate past charges. Our billing team will review within 5 business days. || User: Okay I suppose that's reasonable. I'd like to see it followed through.,0,resolved,0.6
conv_162,"User: Can I change my delivery address before the item ships? || Bot: Your order hasn't shipped yet, so I've updated the delivery address to the one you provided. You'll get a confirmation email shortly. || User: Wonderful, thank you! || Bot: Of course! Is there anything else?",0,resolved,0.6
conv_163,"User: What payment methods do you accept? || Bot: We accept Visa, Mastercard, American Express, PayPal, and Apple Pay. || User: Great, I'll use PayPal then. || Bot: Sounds good! Let me know if you run into any issues.",0,"resolved,smooth_flow",0.51
conv_164,"User: Hello, I'd like to know if there's a student discount available. || Bot: Yes! We offer a 20% student discount. Please verify your student status at our EDU portal and the discount will be applied automatically. || User: Just verified — discount applied. Thanks! || Bot: Enjoy the savings! Let us know if you need anything else.",0,"smooth_flow,clarified",0.55
conv_165,User: My profile picture won't upload — keeps giving a generic error. || Bot: I'm sorry about that. Try a JPEG under 2MB. || User: I've tried 5 different images. Same error every time. || Bot: Please try in an incognito window. || User: Same error. Is this a bug? || Bot: It may be a temporary issue on our end. Please try again later. || User: I've been trying for 4 days. This is a bug you need to fix.,1,"repetition,fallback",0.73
conv_166,User: my card keeps getting declined on your site but works everywhere else || Bot: I'm sorry about that. Please check if your card details are entered correctly. || User: everything is correct. been using same card for a year || Bot: Sometimes banks block certain merchants. Please contact your bank. || User: my bank says there's no block from their end. the problem is your site || Bot: I recommend trying a different payment method. || User: i dont have another method. ive been trying to pay for 2 days || Bot: I apologize for the trouble. There may be an issue with our payment processor. || User: so you admit its your problem. fix it or i go elsewhere,1,"frustration,fallback",0.76
conv_167,User: I need to pause my subscription for a month. || Bot: Absolutely! I've paused your subscription for 30 days starting today. It will auto-resume on May 8th unless you cancel it. || User: Perfect. That's exactly what I needed. || Bot: Great! We'll send you a reminder before it resumes.,0,resolved,0.6
conv_168,"User: I locked myself out after too many password attempts. || Bot: Your account has been temporarily locked for security. I've sent an unlock link to your email. It'll expire in 15 minutes. || User: Got it, I'm in now. Thanks! || Bot: Glad you're back in! Consider enabling biometric login to avoid this in the future.",0,resolved,0.56
conv_169,"User: I received a confirmation for the wrong order. I think there's a mix-up. || Bot: Oh no! Let me check. What order were you expecting? || User: I ordered a black backpack, size large. Confirmation says blue, small. || Bot: I see the discrepancy. I've corrected your order. You'll get an updated confirmation shortly. || User: How did that even happen? || Bot: Likely a system glitch during checkout. I apologize — it's corrected now. || User: Fine. Just make sure the right item ships. || Bot: It will! I've flagged it for manual verification before shipping.",0,resolved,0.58
conv_170,"User: The app doesn't support my language anymore after the update. || Bot: I'm sorry to hear that! Which language are you looking for? || User: Romanian. It was there before the update. || Bot: It looks like Romanian was temporarily removed during a localization overhaul. It'll be back in the next release — approximately 2 weeks. || User: Two weeks is a while. Can I switch to an older version? || Bot: Unfortunately, rollbacks aren't supported. But you can use the web version which still has Romanian. || User: Fine. I'll use the web version for now.",0,resolved,0.57
conv_171,User: Does my plan include priority support? || Bot: Yes! The Pro plan includes priority support with a guaranteed 4-hour response time for critical issues. || User: Good to know. Thanks for confirming. || Bot: Of course! Don't hesitate to reach out anytime.,0,"smooth_flow,clarified",0.56
conv_172,User: Someone hacked my account and made unauthorized purchases. || Bot: I'm sorry to hear that. Please change your password immediately. || User: I already did. But the charges are still there — Rs.350 worth. || Bot: I recommend contacting your bank to dispute the charges. || User: So you're not going to help me? This happened on YOUR platform. || Bot: I understand your frustration. I'll note this for our security team. || User: Noting it isn't good enough. I need a real person to handle this.,1,"frustration,fallback",0.76
conv_173,"User: Been charged for 6 months for a service I cancelled. || Bot: I'm sorry. Can you confirm the cancellation date? || User: October 15th last year. I have the confirmation email. || Bot: I see the cancellation request but the billing appears to have continued. || User: Yes, obviously. I want a refund for 6 months. || Bot: That's a significant amount. I'll need to escalate this to a billing specialist. || User: Fine. But I've been saying that every chat. When will it actually happen? || Bot: A specialist will contact you within 2–3 business days. || User: I'll be filing a chargeback if I don't hear back. This is fraud.",1,"frustration,repetition",0.95
conv_174,User: My account was charged but the order never arrived. I want a refund. || Bot: I'm sorry to hear that. Can you please provide your order number? || User: Order #4477. I already gave this last time. || Bot: Thank you. I can see the order was marked as delivered on April 1st. || User: It was NOT delivered. I was home all day. Where is my package? || Bot: I recommend checking with your neighbors or building management. || User: I already did. This is the second time I'm asking — refund my money or I'm disputing it. || Bot: I'll note your concern. Our team will follow up within 48 hours.,1,"frustration,repetition,fallback",0.85
conv_175,User: My account was charged but the order never arrived. I want a refund. || Bot: I'm sorry to hear that. Can you please provide your order number? || User: Order #4477. I already gave this last time. || Bot: Thank you. I can see the order was marked as delivered on April 1st. || User: It was NOT delivered. I was home all day. Where is my package? || Bot: I recommend checking with your neighbors or building management. || User: I already did. This is the second time I'm asking — refund my money or I'm disputing it. || Bot: I'll note your concern. Our team will follow up within 48 hours.,1,"frustration,repetition,fallback",0.94
conv_176,"User: Been charged for 6 months for a service I cancelled. || Bot: I'm sorry. Can you confirm the cancellation date? || User: October 15th last year. I have the confirmation email. || Bot: I see the cancellation request but the billing appears to have continued. || User: Yes, obviously. I want a refund for 6 months. || Bot: That's a significant amount. I'll need to escalate this to a billing specialist. || User: Fine. But I've been saying that every chat. When will it actually happen? || Bot: A specialist will contact you within 2–3 business days. || User: I'll be filing a chargeback if I don't hear back. This is fraud.",1,"frustration,repetition",0.92
conv_177,User: I tried using your self-service return portal but it crashed. || Bot: I apologize for the trouble! I can initiate the return for you right here. Can you share your order number? || User: It's order #5521. I just want a simple return. || Bot: I've processed your return request. You'll receive a prepaid label within the next 2 hours. || User: That was easier than the portal at least. But the portal really should work. || Bot: Absolutely — I've reported the portal issue to our tech team. Apologies for the friction.,0,resolved,0.6
conv_178,User: I accidentally chose the wrong size on my order. Can it be changed? || Bot: Your order is still in processing — I may be able to update it. What size did you want? || User: I ordered M but need L please. || Bot: I've submitted the size change request. I can't guarantee it but it's flagged for our warehouse. You'll hear back within 2 hours. || User: Okay. I really hope it works because I need the right size. || Bot: Fingers crossed! We'll do our best.,0,resolved,0.58
conv_179,User: I need a VAT invoice for my last purchase. || Bot: I've generated your VAT invoice for order #3390 and sent it to your registered email. Let me know if you need it in a different format. || User: Got it. That works perfectly. || Bot: Great! Don't hesitate to reach out if you need anything else.,0,"resolved,smooth_flow",0.53
conv_180,"User: I received the wrong item in my order. || Bot: I sincerely apologize! I've arranged for the correct item to be shipped immediately at no extra charge. Please keep or donate the incorrect item — no need to return it. || User: Oh wow, that's very generous. Thank you! || Bot: It's the least we can do. We're sorry for the error!",0,resolved,0.58
conv_181,User: I want to speak to your data privacy officer. || Bot: I can help you with data privacy questions. What would you like to know? || User: I want to know exactly what data you hold on me and who you've shared it with. || Bot: You can submit a Subject Access Request via our privacy page. || User: I submitted one 45 days ago. No response. You're legally required to respond within 30 days. || Bot: I apologize for the delay. I'll escalate your request. || User: I need written confirmation of escalation today. Otherwise I'm filing a complaint. || Bot: I'll send a confirmation to your registered email. || User: And the DPO contact? I need to speak to them directly.,1,"frustration,repetition",0.93
conv_182,"User: Why does your app keep crashing when I open the payments section? || Bot: I'm sorry about that! What device and OS are you using? || User: iPhone 15, iOS 17.4. || Bot: There's a known issue with the payments section on iOS 17.4. A fix is rolling out this week. || User: It's been crashing for days though. Is there a workaround? || Bot: You can access payments via our website in the meantime. I apologize for the inconvenience. || User: Okay that works I guess. Just fix it quickly please.",0,resolved,0.56
conv_183,"User: Hi, did my refund go through? Order #7734. || Bot: Let me check… Yes, a refund of Rs.89.99 was processed on April 2nd. It should appear on your statement by April 7th. || User: Okay cool. I'll keep an eye out. Thanks. || Bot: You're welcome! Feel free to reach out if it doesn't show up.",0,"resolved,smooth_flow",0.52
conv_184,User: Your pricing page shows Rs.15/month but I was charged Rs.25. That's false advertising. || Bot: I'm sorry for the confusion. The Rs.25 may reflect an older pricing tier. || User: I signed up yesterday. Your website TODAY shows Rs.15. || Bot: Pricing can vary based on region and currency. || User: I'm in the US. USD. The page clearly says Rs.15/month. || Bot: I'll need to verify this with our billing team. || User: Either charge me Rs.15 or refund me right now. This is a clear error. || Bot: I understand your frustration. I'll create an urgent billing ticket. || User: Stop making tickets! Just fix my account charge!,1,"frustration,fallback",0.73
conv_185,User: I upgraded my plan but none of the premium features are working. || Bot: I'm sorry! Please try logging out and back in. || User: Did that. Still on basic features. || Bot: Try clearing your browser cache. || User: Done. No change. It's been 24 hours since I upgraded and paid. || Bot: It can take up to 24 hours for changes to propagate. || User: It's been 27 hours. Now what? || Bot: Please wait a few more hours and check again. || User: Are you kidding me? I need to talk to an actual person.,1,"frustration,repetition,fallback",0.9
conv_186,"User: I ordered a birthday gift and now it says it'll arrive 5 days late. You ruined it. || Bot: I'm truly sorry about that. Unfortunately, shipping delays are sometimes beyond our control. || User: I paid for expedited shipping specifically to avoid this. I want a refund on shipping. || Bot: I understand. Shipping refunds are processed through our returns team. || User: Just do it here. I don't have time for another team. || Bot: I'm sorry, I'm not able to process shipping refunds in this chat. || User: This is terrible. I want to speak to someone who can actually help.",1,"frustration,fallback",0.76
conv_187,User: I haven't gotten any updates on my open ticket for 4 days. || Bot: I apologize for the silence! Ticket #77231 is assigned to our billing team. Let me request an update now. || User: That would be great. I just want to know it hasn't been forgotten. || Bot: I've sent an internal priority flag. You'll receive an email update within 4 hours. || User: Thanks. Four hours is acceptable.,0,"resolved,smooth_flow",0.53
conv_188,User: Where is my package? Order #9001. || Bot: Your order shipped on April 5th via FedEx with tracking number FX239041. Estimated delivery is April 9th. || User: Thanks! I'll track it on their site. || Bot: Great idea! Don't hesitate to reach out if anything changes.,0,"resolved,smooth_flow",0.5
conv_189,User: I can't verify my phone number for 2FA. It says number already in use. || Bot: That error means the number is linked to another account. || User: It's my own number. I only have one account. || Bot: Please try removing and re-adding the number. || User: I can't — the system won't let me remove it because 2FA is required to make changes. || Bot: I see. This is a catch-22 situation. I'll escalate to our tech team. || User: How long will that take? I've been locked out for 2 days. || Bot: Our technical team typically responds within 24–48 hours. || User: I've already waited 2 days. I need this escalated further.,1,"frustration,fallback,long_conversation",0.87
conv_190,"User: I'm having trouble adding items to my cart. || Bot: This is sometimes caused by browser cache. Try clearing cookies and cache, then refreshing the page. Let me know if it persists. || User: That fixed it! Thanks. || Bot: Great! Enjoy your shopping.",0,"resolved,smooth_flow",0.51
conv_191,"User: Why was I charged Rs.99 when your website says the plan is Rs.49? || Bot: Charges may vary based on applicable taxes and add-ons. || User: There are no add-ons on my account. I specifically checked. || Bot: Let me review your account. I see a charge of Rs.99 on April 1st. || User: Yes, that's the problem. I should have been charged Rs.49. Fix it. || Bot: I understand your concern. Billing discrepancies are reviewed by our billing department. || User: That's not an answer. Can you refund the difference or not? || Bot: I'm not able to process refunds directly, but I can submit a ticket on your behalf. || User: Every time I contact support it's the same story. Just fix it.",1,"frustration,repetition,fallback",0.87
conv_192,User: How come my referral bonus hasn't been applied? || Bot: Referral bonuses are credited within 30 days of the referred user's first purchase. When did your friend sign up? || User: About 3 weeks ago. They've already made 2 purchases. || Bot: That should qualify! I see an issue in the tracking. I'll manually apply the bonus — Rs.20 credit within 24 hours. || User: Finally. I almost gave up asking. Thanks.,0,"resolved,clarified",0.57
conv_193,"User: Is my data backed up if I delete the app? || Bot: Yes, your data is stored on our servers and tied to your account. Reinstalling the app and logging in will restore everything. || User: Great, that's reassuring. Thank you. || Bot: Glad I could help!",0,"resolved,clarified",0.54
conv_194,"User: I'd like to return a product I bought last week. || Bot: Sure! Our return window is 30 days. Please pack the item and use the prepaid label sent to your email. Once we receive it, the refund takes 5–7 days. || User: Perfect, I'll do that today. || Bot: Great! Let us know if you need any further assistance.",0,resolved,0.58
conv_195,User: I think there's a security breach — I got an email about a login I didn't make. || Bot: Please change your password immediately and enable 2FA. || User: I did both immediately. But the breach might have compromised my payment info. || Bot: Your payment data is encrypted and stored securely with our payment processor. || User: That's a standard response. I need to know if my data was actually accessed. || Bot: I don't have access to security audit logs. I'll escalate to our security team. || User: When will I get a response? And is there any compensation for this? || Bot: Our security team will contact you within 24 hours. || User: I'm not satisfied with this. I want to speak to a security officer directly.,1,"frustration,fallback",0.72
conv_196,User: I need a VAT invoice for my last purchase. || Bot: I've generated your VAT invoice for order #3390 and sent it to your registered email. Let me know if you need it in a different format. || User: Got it. That works perfectly. || Bot: Great! Don't hesitate to reach out if you need anything else.,0,"resolved,smooth_flow",0.5
conv_197,User: I've contacted support 4 times about a billing error. NOBODY has fixed it. || Bot: I'm very sorry to hear that. I'll do my best to help you today. || User: That's what everyone says. My account is overcharged by Rs.200. || Bot: Let me look into this for you. || User: What do you see? || Bot: I see some charges on your account but I'm unable to determine the discrepancy from my end. || User: This is insane. You can't see a Rs.200 overcharge? I want a supervisor.,1,"frustration,repetition,fallback",0.93
conv_198,"User: I think I was billed for a plan I downgraded from. || Bot: Let me check your billing history… I can see the downgrade was processed but the charge occurred before it took effect. I'll issue a prorated refund of Rs.12.50. || User: Oh great, I appreciate that. Thanks. || Bot: No problem at all! You're all sorted.",0,resolved,0.6
conv_199,User: Can I get a receipt for my last purchase? || Bot: Of course! I've resent the receipt to your registered email address. Please check your inbox and spam folder. || User: Got it. Thanks! || Bot: Happy to help!,0,"resolved,smooth_flow",0.5
conv_200,"User: I received the wrong item in my order. || Bot: I sincerely apologize! I've arranged for the correct item to be shipped immediately at no extra charge. Please keep or donate the incorrect item — no need to return it. || User: Oh wow, that's very generous. Thank you! || Bot: It's the least we can do. We're sorry for the error!",0,resolved,0.6
conv_201,"User: Hi, I'm trying to update my shipping address but the form won't save. || Bot: I'm sorry about that! Please try refreshing the page and ensure all required fields are filled in. || User: I refreshed twice. Still won't save. || Bot: Could you try a different browser? Sometimes browser extensions interfere with forms. || User: Tried Chrome and Firefox. Same problem. || Bot: I apologize for the inconvenience. I'm not able to make changes directly from here, but our tech team is aware of intermittent form issues. || User: So you can't help me? My package ships tomorrow.",1,"frustration,fallback",0.7
conv_202,"User: Hey, I placed an order an hour ago and realized I picked the wrong color. Can I change it? || Bot: I'll check if your order is still in processing. Could you share the order number? || User: It's order #5581. || Bot: Your order is still in the queue! Unfortunately our system doesn't allow color changes post-purchase, but I can cancel and you can reorder. || User: Will I lose my discount code if I do that? || Bot: Discount codes are single-use, so yes, it would no longer apply. || User: That's not great. Is there any other way? || Bot: I understand your concern. Unfortunately there isn't an alternative I can offer at this point.",1,"frustration,low_quality_response",0.67
conv_203,"User: Hi, I received my order but the tracking still shows 'out for delivery'. Is this normal? || Bot: Yes, tracking updates can sometimes lag by 24–48 hours. Your item may already be delivered! || User: It has been delivered, yes. I'm just wondering if this is a system issue. || Bot: That's normal — our carrier partners update their systems at different rates. Nothing to worry about! || User: Okay. But will my return window be calculated from the delivery date or the tracking update date? || Bot: Returns are calculated from the delivery date, which we confirm via carrier records. You have the full return window from today. || User: Great, thanks.",0,"resolved,clarified",0.54
conv_204,User: I signed up for the annual plan but the features list on my dashboard looks the same as the free tier. || Bot: It can take up to 1 hour for premium features to activate after purchase. When did you upgrade? || User: About 90 minutes ago. || Bot: Let me check your account... I can see the plan upgrade is confirmed. Please try logging out and back in. || User: Done that. Still basic features. || Bot: I'd recommend clearing your browser cache as well. || User: Done. No change. || Bot: I'm sorry — I'm unable to force the feature activation from my end. I'll escalate this to our technical team.,1,"frustration,repetition,fallback",0.74
conv_205,"User: I need to download my invoice from last month for expense reporting, but there's no download button showing. || Bot: Invoices can be downloaded from Account > Billing > Invoice History. Is that section visible? || User: Yes I'm there. There's just no download button next to the March invoice. || Bot: That's unusual. Try a different browser — it may be a rendering issue. || User: Same on mobile. || Bot: I can email the invoice to your registered address as a workaround. Would that help? || User: Yes please, that works for now. || Bot: Done! It should arrive within a few minutes.",0,"resolved,clarified",0.56
conv_206,"User: Your website says I qualify for a loyalty discount but it's not applying at checkout. || Bot: I'm sorry about that! Which loyalty tier are you on? || User: Gold tier. Been a customer for 3 years. || Bot: Gold tier gives 10% off orders over Rs.100. Is your cart above that threshold? || User: Yes, Rs.147. || Bot: Let me check your account... You do qualify. This looks like a system glitch. I'm applying the discount manually — your new total is Rs.132.30. || User: Great! Thanks for sorting that. || Bot: Happy to help! Enjoy your order.",0,"resolved,smooth_flow",0.52
conv_207,"User: Hi. My subscription auto-renewed but I had cancelled it last week. || Bot: I'm sorry to hear that! Let me check your cancellation record. || User: I cancelled on April 1st. I have the confirmation email. || Bot: I can see a cancellation was requested, but it appears it didn't process before the renewal date. || User: That's your system's fault, not mine. || Bot: You're right, and I apologize. I'm issuing a full refund right now — it'll appear in 3–5 business days. || User: Thank you. And please make sure the subscription is actually cancelled. || Bot: Confirmed — your subscription is cancelled and you won't be charged again.",0,"resolved,clarified",0.59
conv_208,"User: The discount I was promised in a sales call last week isn't showing on my account. || Bot: I'm sorry about that. Do you have any reference number from the call? || User: No, it was verbal. The rep said 20% off for 6 months. || Bot: Unfortunately I'm unable to verify verbal commitments without a reference number or written confirmation. || User: So you're saying your rep lied to me? || Bot: I wouldn't say that — there may have been a miscommunication. I can escalate this to our sales team to review the call recording. || User: How long will that take? || Bot: Typically 3–5 business days. I'll create a case now.",1,"frustration,fallback",0.72
conv_209,"User: Hey, I tried to refer a friend but the referral link keeps saying it's expired. || Bot: I'm sorry about that! Referral links expire after 30 days if unused. When was yours generated? || User: Two weeks ago. So it shouldn't be expired. || Bot: You're right — let me check. There may be a technical issue with your specific link. I've regenerated a new referral link and sent it to your email. || User: Got it, works now! Thanks. || Bot: Great! Your friend will get Rs.15 credit and you'll receive yours when they complete their first purchase.",0,"resolved,smooth_flow",0.51
conv_210,"User: I can't seem to export my data. The button is greyed out. || Bot: The export feature requires email verification on your account. Have you verified your email? || User: Yes, verified months ago. || Bot: Okay. The export may also be temporarily unavailable during system maintenance. Could you try again in an hour? || User: I tried yesterday and the day before too. It's been greyed out for 3 days. || Bot: I see — that's beyond normal maintenance windows. I'm flagging this as a bug for our engineering team. You should hear back within 24 hours. || User: Okay I hope so. I need this data urgently.",1,"repetition,fallback",0.68
conv_211,User: Hi. I'm getting a 'payment method declined' error but my bank confirmed there's no issue on their side. || Bot: I'm sorry for the inconvenience. This can sometimes happen due to security filters on our end. Could you try adding the card again? || User: I removed and re-added it twice. Same error. || Bot: Could you try a different card or PayPal as a workaround? || User: I only have this card. I've used it on your site before without issues. || Bot: I understand. I'm escalating this to our payments team — they can review the transaction logs. You'll receive an email within 2 hours. || User: Fine. But I need to place this order today.,1,"frustration,repetition,fallback",0.75
conv_212,"User: Hi, I ordered a gift and selected gift wrapping but the confirmation doesn't mention it. || Bot: Gift wrapping is added as a service and may not appear in the itemized confirmation, but it is applied. || User: How do I know for sure it was added? || Bot: I can check your order — could you share the order number? || User: Order #7792. || Bot: Confirmed — gift wrapping is included on your order. The confirmation email doesn't always list service add-ons, which I'll flag as feedback for our team. || User: Okay, good. Thanks for checking. || Bot: Of course! Your gift will arrive beautifully wrapped.",0,"resolved,clarified",0.53
conv_213,"User: Why is the estimated delivery date showing as 'unknown' on my tracking page? || Bot: I'm sorry about that. This can happen when the carrier hasn't scanned the package yet after pickup. || User: It's been 2 days since it shipped. || Bot: That is a bit unusual. Let me check with our carrier partner. || User: Any update? || Bot: Our carrier shows the package is in transit but hasn't updated the estimated date yet. I'll monitor this and send you an update by email by end of day. || User: Alright, please do. || Bot: Will do. I've logged this for follow-up.",0,"resolved,clarified",0.57
conv_214,User: I bought the wrong product by mistake. The return window says 30 days but it's been 32 days. || Bot: I'm sorry about that! Our standard return window is 30 days from delivery. Unfortunately I can't override that policy automatically. || User: I was traveling for work. Two days over feels harsh. || Bot: I completely understand your situation. Let me see if I can request a goodwill exception — these are reviewed case by case. || User: I'd really appreciate that. || Bot: I've submitted the exception request. You'll receive an email within 24 hours with the decision. || User: Thank you.,1,"frustration,fallback",0.66
conv_215,"User: Hi, I'm trying to reset my password but the link in the email just redirects me to the homepage. || Bot: I'm sorry! That usually means the reset link has expired — they're valid for 15 minutes. Please request a new one. || User: I just got this email 5 minutes ago. || Bot: In that case it may be a browser issue. Try opening the link in an incognito window. || User: That worked! I'm in now. || Bot: Great to hear! Don't forget to save your new password somewhere secure. || User: Will do, thanks!",0,"resolved,smooth_flow",0.5
conv_216,"User: I've been a premium subscriber for 2 years. Today I noticed my account dropped to the free tier. || Bot: I'm sorry to hear that! Let me look at your account. || User: My card on file is valid — I checked. || Bot: I can see your last payment failed on April 5th — it looks like your card's expiry date changed. || User: I updated that in January. Let me check... oh, it seems there's an old card still set as default. || Bot: Exactly. I've updated it and reprocessed your subscription. Your premium access is restored now. || User: Great, thank you. || Bot: You're all set! Sorry for the interruption.",0,"resolved,clarified",0.55
conv_217,"User: I submitted a cancellation request 5 days ago and haven't heard anything back. || Bot: I'm sorry for the delay! Let me check the status of your request. || User: My cancellation ID is CAN-44201. || Bot: I can see your request is still in 'pending review' status. That's longer than expected — I'm escalating it to our billing team now. || User: I'm still being charged while it's pending? || Bot: Unfortunately charges continue until cancellation is confirmed. If a charge occurs before it's processed, we'll refund it. || User: That doesn't feel right. I want this done today. || Bot: I completely understand. I've marked this as urgent.",1,"frustration,fallback,long_conversation",0.73
conv_218,"User: Hello, I need a breakdown of all charges on my account this year for tax purposes. || Bot: Of course! You can find a full transaction history under Account > Billing > Annual Summary. || User: I see monthly statements but no annual summary option. || Bot: That's odd — it should be there on the Pro plan. Let me check... It appears the Annual Summary feature is only available on the Business plan. I apologize for the confusion. || User: So it doesn't exist for me? || Bot: Correct, but I can manually compile your monthly statements and email you a summary. Shall I do that? || User: Yes please. That would help. || Bot: Done — you'll receive it within the hour.",0,"resolved,clarified",0.58
conv_219,"User: Hey, your checkout process asked for my ID for age verification but then gave an error after I submitted it. Now I can't check out. || Bot: I'm sorry about that! ID verification errors can sometimes happen if the image is blurry or the file is too large. Could you try again with a clearer image? || User: I've tried 3 times with different photos. All under 2MB. || Bot: Let me check if there's a platform issue... I can see some users are experiencing verification errors today. Our team is working on a fix. || User: When will it be fixed? || Bot: We don't have an ETA yet, but I've added you to the notification list. || User: I need to buy this today. It's time-sensitive.",1,"frustration,repetition,fallback",0.76
conv_220,"User: I requested an address change on my pending order yesterday. Has it been updated? || Bot: Let me check order status. Could you give me your order number? || User: Order #6643. || Bot: The address on that order is still showing the original address. The update may not have gone through. || User: I chatted with someone yesterday who said it was changed. || Bot: I understand — I don't see that change reflected in the system. I've updated the address now. Let me confirm: 14 Maple Drive, Austin TX 78701? || User: Yes that's right. || Bot: Updated and confirmed. Your order hasn't shipped yet so you're good.",0,"resolved,clarified",0.57
conv_221,"User: Hi. I'm a developer and I'm hitting rate limits on your API even though I'm on the paid tier. || Bot: I'm sorry about that. Could you share your API key (last 4 characters) and the error code you're receiving? || User: Key ends in 7X2Q, error 429. I'm on the Pro API tier. || Bot: Thank you. I can see your account is on Pro, which allows 1000 requests/minute. Are you staying within that limit? || User: I'm sending about 200/min. Nowhere near 1000. || Bot: That's very unusual. I'm escalating this to our API team with your account details — you should hear back within 4 hours. || User: Please make it urgent — this is blocking our production service.",1,"frustration,fallback",0.78
conv_222,"User: I placed an order but the payment page froze mid-transaction. I don't know if the order went through. || Bot: I understand how worrying that can be! Let me check... || User: I was charged Rs.89 but I have no order confirmation. || Bot: I can see a charge on your account but no corresponding order. This is a failed transaction — the charge will be reversed automatically within 5–7 business days. || User: Can it be done faster? || Bot: I can request an expedited reversal — typically 1–2 business days. I've submitted that now. || User: Alright, thank you. || Bot: You're welcome! I'll send you a confirmation email.",0,"resolved,clarified",0.58
conv_223,"User: Why did my account get flagged as suspicious? I can't do anything. || Bot: I'm sorry for the disruption. Account flags are triggered by unusual activity such as logins from new locations. || User: I just logged in from my office. I always work from different locations. || Bot: I understand. To lift the flag, please verify your identity via the link sent to your email. || User: I did that 10 minutes ago. Still flagged. || Bot: Verification can take up to 30 minutes to propagate. Please check back then. || User: I have a client call in 20 minutes and need access now. || Bot: I hear you — I'm escalating to our security team to manually clear the flag. They'll act within 15 minutes.",1,"frustration,repetition,fallback",0.8
conv_224,"User: Hi, my colleague and I both tried to join the same team workspace and one of us keeps getting an error. || Bot: I'm sorry to hear that! What error message is appearing? || User: It says 'maximum seats reached' but we only have 3 people on a 10-seat plan. || Bot: That's very unusual. Let me check your workspace settings... I can see 7 seats are shown as occupied, but 4 of those are deactivated users who haven't been fully removed. || User: Can you fix that? || Bot: I've cleared the deactivated users. Both of you should be able to join now. || User: Works! Thanks a lot.",0,"resolved,smooth_flow",0.53
conv_225,"User: I noticed my account shows two active subscriptions but I only signed up for one. || Bot: Let me check your account right away. || User: I'm being charged Rs.9.99 and Rs.14.99 monthly. || Bot: I can see both subscriptions. It appears a second subscription was created when you switched plans — the old one wasn't cancelled automatically. This is a system error on our part. || User: How long has this been going on? || Bot: Looking at your billing history, this started 3 months ago. I'm cancelling the duplicate and refunding all three erroneous charges now — Rs.29.97 total. || User: Thank you. That's what I expected. || Bot: Sorted. You'll see the refund within 5 business days.",0,"resolved,clarified",0.6
conv_226,"User: Hi. My name is different on my invoice than what I entered. It's showing a previous name. || Bot: I'm sorry about that! This can happen if the account was set up with a previous name that wasn't updated. || User: I updated it 6 months ago. || Bot: I can see an update was made but our invoice system pulls from a separate database that wasn't synced. I'll fix the sync issue and regenerate your invoices. || User: Can you fix historical invoices too? || Bot: I can regenerate the last 12 months of invoices with the correct name and send them to your email. || User: Perfect, please do. || Bot: Done — you'll receive them shortly.",0,"resolved,clarified",0.55
conv_227,"User: I need to transfer my account to my business entity. Is that possible? || Bot: Account transfers are supported. Could you tell me more about what you need — specifically, is it a name change or a full ownership transfer? || User: Full ownership transfer. My personal account to my new LLC. || Bot: Understood. This requires verification documents and approval from our accounts team. I'll send you the request form via email. It typically takes 5–7 business days. || User: That's a bit long. Is there a way to expedite? || Bot: Expedited review (2–3 days) is available for Business plan customers. You'd need to upgrade first. || User: I'll stay on the regular timeline then. Thanks. || Bot: Sounds good — form sent to your email.",0,"smooth_flow,clarified",0.53
